clean_number,event_number,axis_scatter,numb_pix,energy,size,Xc[0],Yc[0],con2,length[0],width[0],dist[0],dist[1],azwidth[1],miss[1],alpha[0],alpha[1],a_axis[0],b_axis[0],x_max_coord,y_max_coord,skewness_l,kurtosis_l,skewness_w,kurtosis_w,con1,con3,edge,source_x,source_y,x_ground,y_ground,tel_tet,tel_fi,source_tet,source_fi,Xmax,num_islands,con_selected_island
0,1,1,16,192.901,832.98,2.23357,-1.40533,0.372652,0.634054,0.111007,2.6389,2.658,0.112147,0.0678934,27.8553,1.46367,-1.73434,20.4681,2.1708,-1.25331,0.355691,240.314,-0.958922,0.631284,0.211274,0.527092,1,0.847506,0.862663,485.326,171.931,0.711023,6.18849,0.695834,-0.0716173,409.105,1,1
1,1,4,24,192.901,1309.87,-1.66687,1.59582,0.31,0.824038,0.152167,2.30762,2.61909,0.152272,0.0182752,27.8963,0.399797,-0.284031,9.30662,-1.6281,1.56664,0.752571,792.325,-0.24408,1.00014,0.157817,0.408815,1,0.847506,0.862663,-159.734,-333.339,0.711023,6.18849,0.695834,-0.0716173,409.105,1,1
2,1,7,19,192.901,436.955,0.2019,-2.95714,0.257525,0.883099,0.150648,2.96402,3.87397,0.150747,0.0243398,13.1391,0.359987,6.15157,-34.8187,0.3618,-2.50662,0.205684,691.866,-0.102124,0.877525,0.131199,0.37189,1,0.847506,0.862663,726.07,-160.236,0.711023,6.18849,0.695834,-0.0716173,409.105,1,1
3,2,7,9,30.2981,373.892,-0.581861,0.128021,0.48985,0.41091,0.118204,0.595778,1.60301,0.118272,0.0162605,40.2718,0.581205,0.528653,3.61213,-0.1809,0.313328,0.37961,37.1729,0.109816,0.323153,0.274419,0.698897,0,0.84283,0.862794,248.136,-67.7066,0.585524,7.02794,0.570295,0.772003,380.335,1,1
4,3,1,12,125.481,486.914,2.8937,2.26439,0.430994,0.461338,0.148835,3.67437,2.4839,0.150697,0.134349,6.79257,3.10053,0.606849,4.21516,2.7135,2.19329,-0.139526,61.5863,0.720436,1.40385,0.256415,0.576264,1,0.843026,0.862786,-328.19,221.475,0.588039,6.58316,0.572811,0.327123,411.241,1,1
5,3,3,33,125.481,2302.32,-1.07006,1.29276,0.395777,0.762125,0.15905,1.67818,1.96082,0.160332,0.0532258,39.2727,1.55547,-0.196401,8.97678,-0.7236,1.25331,1.27732,880.579,-0.162435,1.51792,0.230045,0.53929,1,0.843026,0.862786,14.4279,-233.471,0.588039,6.58316,0.572811,0.327123,411.241,1,1
6,4,3,22,65.454,780.799,1.9412,-1.85201,0.257381,0.840033,0.151755,2.68294,2.92929,0.151911,0.024444,24.7642,0.478122,-2.52794,25.3335,1.6281,-0.939984,0.411693,700.212,-0.239093,1.19905,0.129297,0.363466,1,0.840983,0.862813,226.906,219.562,0.546385,6.72066,0.531141,0.466453,552.444,1,1
7,4,5,7,65.454,117.461,2.86878,-1.7105,0.422481,0.429685,0.122806,3.34001,3.27626,0.127582,0.275146,25.7737,4.81747,-1.51537,21.8637,3.0753,-2.19329,-0.532358,45.6354,1.36218,0.399854,0.223657,0.599271,1,0.840983,0.862813,240.824,404.615,0.546385,6.72066,0.531141,0.466453,552.444,1,1
8,4,7,21,65.454,2118.49,0.742565,2.89962,0.366988,0.586994,0.159865,2.99319,2.03918,0.162349,0.102152,20.002,2.8714,-10.13,86.4162,0.7236,2.50662,0.472076,185.903,0.0859419,1.2148,0.216743,0.476756,0,0.840983,0.862813,-182.722,-98.7657,0.546385,6.72066,0.531141,0.466453,552.444,1,1
9,4,8,24,65.454,2293.81,2.50627,1.91378,0.355904,0.634497,0.168709,3.1534,1.96919,0.169683,0.0584474,6.8099,1.70084,0.590348,3.60043,1.9899,1.56664,0.497503,229.413,0.301576,1.7744,0.190217,0.481366,1,0.840983,0.862813,-158.417,89.376,0.546385,6.72066,0.531141,0.466453,552.444,1,1
10,5,2,11,50.9143,295.059,0.695656,-1.59202,0.439519,0.524483,0.128593,1.73737,2.45913,0.129521,0.0748375,28.7301,1.74392,11.1465,-77.4969,0.7236,-1.25331,0.202793,90.407,0.0167979,0.390048,0.276165,0.542244,0,0.840754,0.862827,414.988,93.8218,0.542004,6.55138,0.526758,0.297383,387.587,1,1
11,5,5,11,50.9143,243.566,2.93022,2.2977,0.332526,0.51859,0.15905,3.72366,2.5347,0.16131,0.13819,0.49805,3.12526,0.770197,0.338768,3.2562,2.50662,-0.225317,73.2132,-0.264753,1.0624,0.167704,0.496748,1,0.840754,0.862827,-330.118,240.573,0.542004,6.55138,0.526758,0.297383,387.587,1,1
12,6,4,16,71.6517,585.72,-1.46288,0.137456,0.335042,0.63629,0.13277,1.46933,2.41713,0.133174,0.040259,21.8742,0.954345,0.296334,4.73431,-0.9045,0.313328,0.347962,215.651,-0.122856,0.501182,0.176233,0.484919,0,0.842874,0.86272,93.3192,-321.439,0.587447,6.19389,0.57222,-0.0621273,420.021,1,1
13,6,9,13,71.6517,445.131,-0.484262,-1.39021,0.36547,0.638878,0.115797,1.47214,2.61476,0.116865,0.0656249,12.7341,1.43815,1.60412,-5.08623,-0.1809,-0.939984,0.477016,254.086,1.06837,0.577172,0.184267,0.545469,0,0.842874,0.86272,363.93,-223.752,0.587447,6.19389,0.57222,-0.0621273,420.021,1,1
14,7,2,6,21.8716,197.742,2.0799,-0.387917,0.651799,0.38252,0.0836857,2.11577,1.75847,0.0893496,0.147489,39.5806,4.81122,-1.19791,17.4429,1.9899,-0.313328,0.544604,28.685,0.673693,0.0958841,0.415162,0.795709,1,0.843744,0.862741,303.028,17.9093,0.611931,5.68603,0.596712,-0.570947,380.734,1,1
15,7,8,9,21.8716,564.941,-0.281732,1.36442,0.592062,0.339816,0.125111,1.39321,1.23223,0.125194,0.0177199,55.1323,0.823964,-0.428622,10.3123,0,1.25331,0.498611,16.4594,-0.00674711,0.514273,0.407168,0.749154,0,0.843744,0.862741,-169.444,-95.0479,0.611931,5.68603,0.596712,-0.570947,380.734,1,1
16,9,5,15,21.1437,522.428,-0.665223,1.72395,0.433258,0.511555,0.15905,1.84785,1.73883,0.159215,0.0258833,40.0623,0.852908,-0.55061,11.2577,-0.1809,1.56664,0.42597,85.2118,0.059634,1.30785,0.230208,0.566134,0,0.84532,0.862687,-162.316,-151.19,0.653973,6.05108,0.638768,-0.207357,455.599,2,0.960353
17,9,6,14,21.1437,1197.68,1.09735,0.628994,0.709341,0.237514,0.158448,1.26484,0.343705,0.167306,0.104347,89.6676,17.6737,-1.76831,21.3056,1.0854,0.626656,0.90182,9.57997,0.159108,2.48868,0.585133,0.772315,0,0.84532,0.862687,29.2022,14.2484,0.653973,6.05108,0.638768,-0.207357,455.599,1,1
18,10,0,34,110.345,6887.6,0.370652,0.0588273,0.662588,0.486149,0.133557,0.375292,0.932633,0.133712,0.0128554,49.7318,0.789788,1.64796,-4.57705,0.5427,0.313328,1.78897,234.571,0.546468,1.75534,0.39717,0.742973,0,0.843439,0.86274,104.6,-12.188,0.5973,6.64991,0.582076,0.393503,430.012,1,1
19,10,1,15,110.345,492.946,1.08748,-1.97364,0.273935,0.659935,0.147516,2.25341,2.84685,0.147989,0.0523357,24.9907,1.05337,-14.805,117.135,1.0854,-1.87997,0.0880616,257.169,0.49039,0.790675,0.146641,0.400744,0,0.843439,0.86274,432.42,200.448,0.5973,6.64991,0.582076,0.393503,430.012,1,1
20,10,2,10,110.345,518.323,3.24587,0.983833,0.425808,0.450545,0.129206,3.39169,2.40548,0.129328,0.0312944,13.2313,0.745419,0.0634569,6.44993,3.0753,0.939984,-0.204224,51.1578,0.485802,0.748352,0.239931,0.58374,0,0.843439,0.86274,-146.468,329.617,0.5973,6.64991,0.582076,0.393503,430.012,1,1
21,10,4,9,110.345,181.806,-1.38141,-2.10104,0.369168,0.608569,0.103288,2.51449,3.70593,0.113002,0.283242,7.9537,4.38335,1.13915,-4.37317,-1.0854,-1.87997,0.0051533,153.368,0.0579863,0.174201,0.20584,0.508867,0,0.843439,0.86274,637.997,-120.838,0.5973,6.64991,0.582076,0.393503,430.012,1,1
22,10,7,11,110.345,174.508,-1.6518,-1.81114,0.289225,0.74418,0.119233,2.45126,3.6573,0.120683,0.0928874,2.11051,1.45534,1.01846,-1.0684,-1.0854,-1.25331,0.0712724,311.42,-0.030691,0.254494,0.170084,0.396807,1,0.843439,0.86274,608.372,-181.509,0.5973,6.64991,0.582076,0.393503,430.012,1,1
23,11,4,12,24.4568,290.287,1.00778,2.73571,0.43138,0.548808,0.15397,2.91543,1.87994,0.155005,0.0638262,17.2558,1.94563,19.2934,-138.539,0.9045,2.19329,0.328572,103.329,-0.324527,1.19752,0.288101,0.54958,0,0.846789,0.862676,-284.554,-162.105,0.682025,6.852,0.666828,0.592713,359.617,1,1
24,11,7,13,24.4568,975.365,-0.208617,0.924452,0.637823,0.436796,0.0871266,0.947699,1.05721,0.092285,0.0751423,78.0092,4.07578,0.0126702,7.68736,0.1809,0.939984,0.908473,71.7221,-1.60461,0.390632,0.369353,0.803361,1,0.846789,0.862676,83.2937,-134.25,0.682025,6.852,0.666828,0.592713,359.617,1,1
25,12,7,13,24.9014,270.126,-1.25051,0.728854,0.281469,0.580794,0.160067,1.44742,2.09678,0.160067,0.00034276,33.8879,0.0093661,0.0638333,6.70546,-1.0854,0.626656,0.584434,166.377,0.150294,0.797458,0.151492,0.411349,1,0.841987,0.862769,-130.879,-258.015,0.565184,5.72655,0.549948,-0.528517,392.06,1,1
26,13,3,16,46.33,627.879,1.7023,2.73103,0.233276,0.64087,0.163548,3.21813,2.05623,0.165847,0.0913132,9.79533,2.54523,2.45768,-12.0456,1.6281,2.81995,0.177248,201.313,-0.0753573,0.881237,0.120246,0.337076,1,0.843528,0.862713,-293.024,-6.02811,0.598848,6.66469,0.583625,0.408223,446.646,1,1
27,13,6,12,46.33,198.358,0.890901,-1.74985,0.321187,0.683816,0.127167,1.96359,2.61299,0.131451,0.129445,28.7828,2.83955,31.8077,-249.481,0.9045,-0.939984,-0.336931,261.389,-0.158129,0.304822,0.167747,0.43235,0,0.843528,0.862713,428.072,180.016,0.598848,6.66469,0.583625,0.408223,446.646,1,1
28,14,2,15,154.762,402.981,1.80932,-2.67783,0.314717,0.725333,0.159932,3.23178,3.66939,0.160641,0.0782189,17.5963,1.22144,-3.38694,28.6089,1.6281,-2.19329,0.0223866,354.505,0.748402,1.50743,0.158675,0.402371,1,0.845524,0.862722,586.647,113.348,0.649683,6.2544,0.634476,-0.00388735,489.681,1,1
29,15,0,9,24.4459,265.113,-0.905658,0.703874,0.407049,0.508058,0.121625,1.14702,1.75679,0.122441,0.0502688,44.6823,1.63969,0.11974,6.73563,-0.7236,0.626656,0.718522,112.374,0.702516,0.260139,0.241101,0.531287,0,0.843932,0.862741,-72.2156,-259.074,0.609244,5.90032,0.594024,-0.356547,350.308,1,1
30,16,1,12,78.9541,353.262,2.0916,-1.16496,0.393442,0.539937,0.108566,2.39414,2.37974,0.110616,0.0953682,31.6158,2.29675,-1.78434,21.2865,1.9899,-0.939984,0.228205,117.323,-1.11276,0.582872,0.202733,0.578494,0,0.845904,0.862705,356.531,316.654,0.66896,6.5601,0.653759,0.301193,359.259,1,1
31,16,5,16,78.9541,930.323,-0.815756,1.35751,0.522879,0.511004,0.13225,1.58376,1.73377,0.133434,0.0623102,44.4748,2.05961,-0.259039,9.50409,-0.3618,1.25331,0.716543,115.434,0.760455,0.899499,0.264057,0.609683,1,0.845904,0.862705,-14.1057,-281.299,0.66896,6.5601,0.653759,0.301193,359.259,1,1
32,16,6,5,78.9541,70.471,2.78766,-1.76558,0.503072,0.362162,0.098959,3.29974,3.26776,0.105411,0.340613,27.178,5.98305,-1.69945,24.6427,2.7135,-1.56664,-0.00790327,19.4081,-2.44856,0.382968,0.272013,0.725447,1,0.845904,0.862705,498.409,512.789,0.66896,6.5601,0.653759,0.301193,359.259,1,1
33,16,7,13,78.9541,653.947,0.894781,2.92924,0.401066,0.515237,0.141854,3.06285,2.06711,0.141955,0.0223235,15.0125,0.618771,29.0189,-191.014,0.9045,2.81995,0.553033,109.968,-0.099485,0.660302,0.261584,0.522383,1,0.845904,0.862705,-386.898,-108.46,0.66896,6.5601,0.653759,0.301193,359.259,1,1
34,16,9,15,78.9541,1379.57,2.17198,0.434048,0.501788,0.474137,0.132469,2.21493,1.39364,0.134478,0.0708891,32.1303,2.91568,-0.380448,10.4509,1.809,0.626656,1.03563,114.226,0.0452925,0.589246,0.319878,0.656321,1,0.845904,0.862705,31.0774,220.246,0.66896,6.5601,0.653759,0.301193,359.259,1,1
35,17,9,7,41.5912,153.304,1.12929,-1.7036,0.412859,0.442147,0.110256,2.04391,2.58201,0.110509,0.0451142,26.2227,1.00115,-7.78796,58.7997,1.0854,-1.25331,0.1105,45.4342,-0.195094,0.167368,0.217894,0.599795,0,0.845245,0.862739,499.474,-148.322,0.647086,5.90473,0.631878,-0.353477,410.016,1,1
36,18,6,9,48.7462,186.796,1.96764,-1.52397,0.410753,0.595643,0.0948722,2.4888,2.63843,0.11518,0.293046,20.6349,6.37691,-1.62505,13.8768,2.1708,-1.87997,0.216221,168.852,0.571914,0.463626,0.217997,0.578428,0,0.843012,0.862764,451.04,-232.13,0.589696,5.40662,0.574469,-0.849487,368.554,1,1
37,19,0,14,156.563,1219.01,2.99267,0.395974,0.341286,0.477796,0.152383,3.01875,2.19625,0.152534,0.0329975,20.668,0.860871,-0.233272,9.07196,3.0753,0.313328,-0.0115376,62.4315,-0.444265,1.22567,0.1976,0.48187,1,0.846585,0.862711,290.252,81.6536,0.687487,5.27963,0.672291,-0.979827,470.502,1,1
38,19,3,22,156.563,2487.13,2.47992,2.01714,0.360345,0.56435,0.154488,3.19669,2.00012,0.154713,0.0306923,4.75142,0.87925,0.684024,2.66013,2.1708,1.87997,0.460132,141.397,0.336008,1.20105,0.206961,0.494991,1,0.846585,0.862711,69.3376,246.952,0.687487,5.27963,0.672291,-0.979827,470.502,1,1
39,20,1,7,133.412,248.506,3.00668,-0.609086,0.456275,0.392518,0.12175,3.06776,2.61451,0.12233,0.0833788,20.9793,1.82752,-0.635383,10.7903,2.8944,-0.626656,-0.257528,29.2188,0.526984,0.374434,0.251511,0.642705,1,0.845776,0.862703,413.172,330.171,0.661982,6.1067,0.646779,-0.151987,374.314,1,1
40,20,3,14,133.412,814.347,2.58032,2.4876,0.380852,0.498181,0.15374,3.58416,2.37674,0.153949,0.0402513,1.79162,0.970378,0.905481,1.25348,2.5326,2.50662,0.134507,77.2412,0.280366,0.919064,0.197055,0.486985,1,0.845776,0.862703,-256.756,314.154,0.661982,6.1067,0.646779,-0.151987,374.314,1,1
41,20,7,23,133.412,2934.64,1.32965,-0.457392,0.553519,0.503121,0.138284,1.40612,1.40598,0.140916,0.0787855,47.6747,3.21231,-2.31726,21.7557,1.2663,-0.313328,1.09234,148.528,0.837688,2.10654,0.334639,0.725124,0,0.845776,0.862703,253.773,26.6231,0.661982,6.1067,0.646779,-0.151987,374.314,1,1
42,21,0,10,26.1397,250.798,2.38523,1.8347,0.468158,0.496589,0.128249,3.00923,1.82236,0.13264,0.128574,9.38085,4.04579,0.535889,4.61429,1.9899,1.56664,0.403724,78.7429,-0.603004,0.523235,0.264691,0.609363,0,0.843712,0.862748,-120.843,265.702,0.609325,6.0626,0.594105,-0.194277,349.541,1,1
43,21,5,7,26.1397,185.892,-0.690835,2.094,0.46768,0.436839,0.106074,2.20501,1.96744,0.106109,0.0126425,33.3679,0.368178,-0.791844,12.8272,-0.3618,1.87997,0.139885,45.254,-0.011972,0.15317,0.239031,0.619451,0,0.843712,0.862748,-281.933,-185.537,0.609325,6.0626,0.594105,-0.194277,349.541,1,1
44,21,9,9,26.1397,595.995,0.456772,-0.202947,0.443302,0.392418,0.135476,0.499828,1.13377,0.138184,0.0838059,81.7604,4.23906,3.55375,-15.1426,0.5427,-0.313328,0.793207,45.252,-0.113644,0.35546,0.22754,0.604831,0,0.843712,0.862748,187.8,-105.559,0.609325,6.0626,0.594105,-0.194277,349.541,1,1
45,22,2,18,47.6178,930.074,0.068691,-0.505242,0.471893,0.534133,0.125826,0.50989,1.57098,0.125888,0.0119276,37.6189,0.435019,1.7407,-5.18087,0.1809,-0.313328,0.823521,159.956,0.0410605,0.885767,0.262255,0.630121,0,0.840887,0.86286,189.167,-163.068,0.543496,6.0212,0.52825,-0.232867,370.507,1,1
46,22,3,8,47.6178,188.848,-1.55095,0.0899811,0.458882,0.426557,0.118293,1.55356,2.51361,0.118454,0.0379062,22.0917,0.864075,0.33987,5.11694,-1.809,0,0.2126,45.7953,0.115262,0.273076,0.244038,0.608939,0,0.840887,0.86286,44.913,-398.617,0.543496,6.0212,0.52825,-0.232867,370.507,1,1
47,23,1,11,141.124,583.804,-1.48737,2.67491,0.340335,0.495837,0.136151,3.06062,2.95264,0.136194,0.0213536,22.6491,0.414369,-0.789042,12.4487,-1.6281,2.81995,0.0601343,66.5481,-0.0732467,0.536051,0.175362,0.497044,1,0.843759,0.862752,-400.884,-162.412,0.601015,5.82974,0.585792,-0.426807,446.086,1,1
48,23,5,15,141.124,392.968,-2.66207,-0.0858087,0.274631,0.729001,0.14091,2.66346,3.63189,0.141643,0.0730634,14.4463,1.15271,0.292279,5.74013,-2.1708,0,-0.147481,338.26,0.260939,0.599226,0.156438,0.370035,0,0.843759,0.862752,-58.4715,-498.777,0.601015,5.82974,0.585792,-0.426807,446.086,1,1
49,23,8,11,141.124,574.175,3.00361,-0.490423,0.504877,0.4177,0.13821,3.04338,2.54873,0.138275,0.0273609,23.4095,0.615088,-0.641564,11.912,2.7135,-0.313328,-0.273039,39.5495,-0.0606263,0.634173,0.260313,0.598943,1,0.843759,0.862752,364.652,182.819,0.601015,5.82974,0.585792,-0.426807,446.086,1,1
50,24,1,7,45.9079,118.688,-1.78775,0.389073,0.417633,0.458419,0.130809,1.8296,2.67478,0.139458,0.294353,16.1598,6.31805,0.0678547,4.23201,-1.9899,0.313328,0.0422757,43.5095,1.18568,0.452791,0.215708,0.609143,0,0.844754,0.862731,214.368,-410.25,0.633496,6.53387,0.618284,0.276123,379.3,1,1
51,24,4,15,45.9079,742.701,-0.792065,0.544625,0.499113,0.534388,0.133428,0.96124,1.66744,0.133442,0.0062796,45.2947,0.215777,0.190439,5.7667,-0.3618,0.626656,0.737519,138.658,-0.58909,0.882889,0.269709,0.581863,0,0.844754,0.862731,115.073,-214.377,0.633496,6.53387,0.618284,0.276123,379.3,1,1
52,24,9,15,45.9079,560.359,-0.888615,1.66054,0.413762,0.547139,0.13795,1.88335,1.90816,0.138201,0.0299993,38.033,0.900818,-0.441347,10.517,-0.5427,1.56664,0.348232,126.576,-0.0708179,0.601196,0.248414,0.526835,0,0.844754,0.862731,-64.368,-273.234,0.633496,6.53387,0.618284,0.276123,379.3,1,1
53,25,3,9,62.7716,214.394,2.76836,-1.36829,0.365915,0.519662,0.124723,3.08805,2.94815,0.124724,0.00247231,22.9277,0.0480481,-1.1597,15.2751,3.2562,-1.87997,-0.124092,78.8627,-0.0350864,0.329069,0.20849,0.517468,1,0.841237,0.86281,164.318,398.09,0.553764,6.82695,0.538523,0.572393,499.315,1,1
54,26,4,28,197.596,3207.96,1.53706,2.87864,0.32071,0.647811,0.164709,3.2633,2.13196,0.164836,0.0219366,9.69623,0.589551,3.00542,-14.4351,1.4472,2.50662,0.317233,237.613,-0.0361858,1.85264,0.176298,0.457535,1,0.843195,0.862759,-129.005,247.563,0.595151,5.46822,0.579926,-0.788107,473.809,1,1
55,26,6,29,197.596,3334.59,-0.545714,2.61064,0.33179,0.751504,0.156398,2.66707,2.23252,0.157451,0.0552171,28.082,1.41724,-1.19646,16.2331,-0.1809,2.19329,0.504018,462.28,0.0760018,1.5902,0.188421,0.443857,1,0.843195,0.862759,-267.515,56.4673,0.595151,5.46822,0.579926,-0.788107,473.809,1,1
56,26,7,38,197.596,2496.54,-0.00643035,-1.44873,0.31829,0.897699,0.168613,1.44874,2.46269,0.169451,0.0470181,21.0214,1.09397,2.56808,-11.8757,0.1809,-0.939984,0.877396,1250.51,-0.15909,2.4492,0.179834,0.445852,1,0.843195,0.862759,141.389,-285.547,0.595151,5.46822,0.579926,-0.788107,473.809,1,1
57,26,8,41,197.596,5134.49,-0.766705,1.85265,0.349847,0.727798,0.180473,2.00503,1.88988,0.181196,0.0433368,37.2457,1.31396,-0.583706,11.6511,-0.1809,1.56664,0.816064,523.593,0.208026,3.40585,0.193248,0.473352,0,0.843195,0.862759,-207.448,-30.5186,0.595151,5.46822,0.579926,-0.788107,473.809,1,1
58,27,1,7,28.2448,143.988,2.96253,0.748625,0.409284,0.350047,0.145173,3.05566,2.12208,0.14836,0.203763,22.7741,5.51007,-0.151101,9.9193,3.2562,0.626656,0.145044,19.615,0.269008,0.375351,0.216928,0.564665,0,0.843529,0.862733,-12.5192,334.483,0.59984,6.38255,0.584617,0.126043,410.502,1,1
59,28,0,7,34.7527,146.1,-1.49599,1.363,0.392122,0.488485,0.102841,2.0238,2.39321,0.10322,0.0442917,29.2103,1.06045,-0.233194,8.40918,-1.4472,1.25331,-0.00542384,66.9672,-0.146207,0.134624,0.196126,0.55245,1,0.844344,0.862731,-388.44,-127.212,0.617919,5.26419,0.602702,-0.992997,352.986,1,1
60,28,4,13,34.7527,275.33,1.33073,-1.06635,0.375106,0.531342,0.150154,1.70527,1.98945,0.157427,0.184619,42.4673,5.32463,-6.43975,62.216,1.2663,-0.939984,0.115464,108.145,-0.31975,0.860435,0.225362,0.474823,0,0.844344,0.862731,267.002,-274.437,0.617919,5.26419,0.602702,-0.992997,352.986,1,1
61,28,6,6,34.7527,195.293,-0.115752,2.70711,0.489746,0.518036,1.67419e-06,2.70959,2.07931,0.0226023,0.090722,27.5516,2.50066,-1.73205,20.7846,0,2.50662,0.195666,83.0855,0.275348,8.56495e-21,0.302044,0.654883,1,0.844344,0.862731,-349.32,227.815,0.617919,5.26419,0.602702,-0.992997,352.986,1,1
62,29,4,10,43.7851,391.026,2.60463,0.147219,0.441825,0.452213,0.128808,2.60879,1.89909,0.129042,0.0340424,24.3411,1.02712,-0.385989,9.55704,2.3517,0.313328,0.5131,59.1034,-0.210416,0.392237,0.279035,0.586051,1,0.845481,0.862722,300.573,32.6238,0.649646,5.30006,0.634439,-0.958227,370.464,1,1
63,29,5,8,43.7851,130.251,0.641875,-2.09258,0.476442,0.488299,0.12393,2.18881,2.9623,0.124395,0.0674158,19.69,1.30404,21.7112,-132.906,0.7236,-1.87997,-0.0297831,66.734,-0.207888,0.448159,0.293963,0.59532,0,0.845481,0.862722,319.046,-534.024,0.649646,5.30006,0.634439,-0.958227,370.464,1,1
64,29,6,12,43.7851,402.369,1.84042,2.45261,0.387083,0.507353,0.134176,3.06634,1.87554,0.134343,0.0256732,4.06197,0.784313,1.55037,-3.32274,1.6281,2.19329,0.312723,80.2425,-0.682306,0.722317,0.2123,0.54245,0,0.845481,0.862722,-35.2918,318.538,0.649646,5.30006,0.634439,-0.958227,370.464,1,1
65,29,8,13,43.7851,639.916,-0.586173,0.292637,0.447043,0.450904,0.151789,0.65516,1.54098,0.154045,0.0953359,51.7893,3.54698,0.471833,4.71983,-0.5427,0.313328,0.55185,69.9743,-0.649695,1.55157,0.292227,0.569506,0,0.845481,0.862722,-124.196,-219.867,0.649646,5.30006,0.634439,-0.958227,370.464,1,1
66,31,3,4,50.9726,59.206,-1.97837,2.48503,0.643837,0.30729,0.0873581,3.17637,3.25677,0.0896601,0.22315,17.6699,3.92891,-0.669599,9.62114,-2.1708,2.50662,-0.0346691,10.3204,0.263646,0.0412798,0.358984,0.856383,0,0.845557,0.862681,-6.98195,-556.927,0.653881,6.87714,0.638676,0.618713,401.071,1,1
67,33,0,9,108.606,283.336,3.09725,-0.380137,0.393893,0.446854,0.127391,3.12049,2.57108,0.128022,0.0761762,23.6073,1.69781,-0.591503,12.0389,3.0753,-0.313328,-0.362904,47.746,-0.0609109,0.400999,0.207425,0.575843,1,0.846497,0.862682,205.716,417.5,0.682083,6.44143,0.666886,0.182133,437.509,1,1
68,33,6,5,108.606,129.469,3.35134,0.633909,0.730059,0.277516,0.0997084,3.41076,2.51527,0.106151,0.353696,24.0132,8.0837,-0.23643,11.8264,3.2562,0.626656,-0.0512711,6.64818,0.376269,0.214785,0.380972,0.862029,1,0.846497,0.862682,-20.0552,476.1,0.682083,6.44143,0.666886,0.182133,437.509,1,1
69,33,7,11,108.606,471.741,3.00285,-0.0816156,0.425344,0.443583,0.148888,3.00396,2.35405,0.154696,0.236575,27.8603,5.76781,-0.563865,13.3631,2.8944,0,0.00703101,41.672,0.490199,0.928648,0.216229,0.58445,1,0.846497,0.862682,135.241,361.037,0.682083,6.44143,0.666886,0.182133,437.509,1,1
70,33,8,4,108.606,132.197,3.23556,-0.158156,0.690575,0.23306,0.110334,3.23942,2.59803,0.115591,0.436162,30.0031,9.6647,-0.644494,15.9796,3.4371,-0.313328,-0.309432,3.09541,-0.214048,0.216182,0.392868,0.888106,1,0.846497,0.862682,169.707,464.716,0.682083,6.44143,0.666886,0.182133,437.509,1,1
71,34,4,9,54.0255,367.407,3.20912,0.857717,0.357639,0.410894,0.157997,3.32177,2.36515,0.158005,0.0100085,14.8429,0.242456,0.00211265,7.05586,3.0753,0.939984,-0.132892,37.6586,-0.351745,0.911641,0.200388,0.511052,0,0.843972,0.862729,-186.284,221.113,0.614459,7.01561,0.599241,0.758543,526.621,1,1
72,36,0,14,83.6234,1751.12,-0.0524823,0.208553,0.610043,0.384303,0.118083,0.215056,1.11224,0.118151,0.0122295,68.7314,0.630003,0.710497,2.03849,0.1809,0.313328,1.15863,54.9082,0.36865,0.396727,0.447923,0.760488,0,0.847069,0.862684,23.8697,-215.718,0.697148,5.64082,0.681955,-0.618907,328.903,1,1
73,36,3,4,83.6234,72.06,0.371761,-2.91503,0.667444,0.337156,0.0898946,2.93864,3.8075,0.0906319,0.135179,16.4737,2.03462,6.1702,-43.1913,0.3618,-3.13328,0.16136,12.7359,-0.574527,0.0763313,0.346697,0.861255,0,0.847069,0.862684,664.636,-592.591,0.697148,5.64082,0.681955,-0.618907,328.903,1,1
74,36,4,14,83.6234,2780.99,1.63624,0.273651,0.609552,0.355917,0.122395,1.65897,0.984763,0.127575,0.10603,52.4129,6.18105,-0.929856,14.8849,1.6281,0.313328,1.31418,51.6317,-0.42515,0.385293,0.447364,0.736617,1,0.847069,0.862684,195.959,23.864,0.697148,5.64082,0.681955,-0.618907,328.903,1,1
75,36,8,10,83.6234,205.924,-1.88014,2.16306,0.356709,0.499968,0.137466,2.86596,3.02136,0.137494,0.0173919,23.84,0.329814,-0.469771,10.6122,-1.9899,2.19329,0.262398,84.1757,0.284273,0.566414,0.180562,0.488204,0,0.847069,0.862684,-523.847,-219.293,0.697148,5.64082,0.681955,-0.618907,328.903,1,1
76,36,9,15,83.6234,1848.18,0.30003,1.95435,0.648675,0.416039,0.10293,1.97724,1.22106,0.107363,0.0924902,39.6877,4.34409,-1.66693,20.3522,0.3618,1.87997,1.36532,94.9288,-0.87046,0.556895,0.404639,0.789622,1,0.847069,0.862684,-239.831,54.0201,0.697148,5.64082,0.681955,-0.618907,328.903,1,1
77,37,6,33,152.868,6824.82,1.87943,0.0792021,0.545901,0.551249,0.152925,1.8811,1.30056,0.157145,0.0888317,43.3777,3.9165,-0.868202,14.1868,1.6281,0.313328,1.27163,235.435,0.132276,2.03486,0.368168,0.626429,1,0.841417,0.862771,160.617,58.097,0.554728,5.81182,0.539488,-0.442777,426.924,1,1
