clean_number,event_number,axis_scatter,numb_pix,energy,size,Xc[0],Yc[0],con2,length[0],width[0],dist[0],dist[1],azwidth[1],miss[1],alpha[0],alpha[1],a_axis[0],b_axis[0],x_max_coord,y_max_coord,skewness_l,kurtosis_l,skewness_w,kurtosis_w,con1,con3,edge,source_x,source_y,x_ground,y_ground,tel_tet,tel_fi,source_tet,source_fi,Xmax,num_islands,con_selected_island
1275,567,7,10,98.5302,239.759,-0.329238,-2.0178,0.328079,0.486655,0.137145,2.04448,3.11101,0.138164,0.111602,14.9826,2.05582,2.21995,-10.6709,-0.1809,-1.56664,0.00971805,71.2396,-0.592372,0.37161,0.16635,0.485171,0,0.845921,0.862722,615.624,-100.924,0.673428,6.42735,0.658228,0.168303,434.286,1,1
1276,567,9,13,98.5302,728.398,1.78021,3.02578,0.389743,0.494935,0.140539,3.51063,2.35621,0.14083,0.0449392,8.20219,1.09285,2.44212,-10.9594,1.6281,2.81995,0.174709,77.9559,-0.450071,0.688301,0.198858,0.527808,1,0.845921,0.862722,-383.808,70.3114,0.673428,6.42735,0.658228,0.168303,434.286,1,1
1277,568,3,15,78.8251,1142.31,-0.234583,1.93562,0.439315,0.504466,0.136426,1.94978,1.52374,0.138436,0.0737469,41.1019,2.77412,-0.900023,14.2992,0.1809,1.56664,0.672931,108.34,-0.487613,0.742773,0.22292,0.604109,0,0.847331,0.862651,-278.237,53.4676,0.702638,5.40086,0.687447,-0.859017,322.802,1,1
1278,568,5,10,78.8251,157.381,1.92914,-1.80604,0.305011,0.589627,0.12993,2.64261,2.87962,0.130108,0.0340676,25.4992,0.677857,-2.55323,25.8665,1.809,-1.25331,0.246904,140.634,-0.208037,0.336092,0.159702,0.427148,0,0.847331,0.862651,593.932,-383.549,0.702638,5.40086,0.687447,-0.859017,322.802,1,1
1279,568,6,19,78.8251,2525.24,1.62206,0.448452,0.681106,0.371574,0.130163,1.68291,0.878501,0.131518,0.0475396,46.6873,3.10205,-0.606403,11.8746,1.4472,0.626656,1.31071,56.8942,0.0950051,0.869949,0.426871,0.784887,0,0.847331,0.862651,134.07,6.04702,0.702638,5.40086,0.687447,-0.859017,322.802,1,1
1280,568,8,5,78.8251,90.542,2.5768,-1.95653,0.573314,0.466945,1.6044e-06,3.23542,3.30739,0.0124483,0.0881716,22.791,1.52763,-1.73204,20.7845,2.7135,-2.19329,-0.464073,57.1815,-0.612272,6.94594e-21,0.360374,0.730236,0,0.847331,0.862651,794.215,-377.631,0.702638,5.40086,0.687447,-0.859017,322.802,1,1
1281,568,9,9,78.8251,337.911,0.832695,3.0751,0.423798,0.479722,0.113536,3.18585,2.2125,0.116385,0.121505,18.6787,3.14814,-16.2236,137.516,0.9045,2.81995,0.146549,63.3069,-0.102388,0.215439,0.235399,0.589948,0,0.847331,0.862651,-339.684,392.57,0.702638,5.40086,0.687447,-0.859017,322.802,1,1
1282,569,3,9,40.3989,206.733,2.66582,-1.04476,0.411178,0.500539,0.128868,2.86323,2.63953,0.129029,0.0351375,25.638,0.762747,-1.07382,15.0734,2.7135,-0.939984,0.430296,80.7879,-0.0821059,0.320605,0.206687,0.570233,1,0.841412,0.862766,301.452,251.875,0.554515,6.28479,0.539275,0.0302027,433.054,1,1
1283,570,2,7,39.6294,129.298,0.930032,-1.51065,0.462451,0.387747,0.114837,1.77399,2.37483,0.115879,0.0994693,31.9745,2.40052,160.946,-1253.69,0.9045,-1.56664,-0.182715,27.1245,0.126389,0.23955,0.291876,0.630195,0,0.845307,0.862671,532.742,56.0355,0.646553,6.33934,0.631346,0.0811527,321.093,1,1
1284,570,4,16,39.6294,1302.28,0.504606,1.01829,0.645619,0.270995,0.162096,1.13646,0.374559,0.162103,0.00264273,87.7845,0.404258,-0.448261,10.3191,0.5427,0.939984,1.34512,18.3083,0.321762,1.73781,0.538606,0.742215,0,0.845307,0.862671,-16.6047,-35.9405,0.646553,6.33934,0.631346,0.0811527,321.093,1,1
